Mes,Pais,Pais_join,fob_total,kg_total,CIIU,fob_ciiu
11,Nicaragua,NICARAGUA,5233953.350000001,2193968.36,"Fabricación de productos farmacéuticos, sustancias químicas medicinales y productos botánicos de uso farmacéutico",1210713.27
11,Nigeria,NIGERIA,464476.93000000005,655142.28,Procesamiento y conservación de carne y productos cárnicos,374999.31
11,Noruega,NORWAY,7665958.42,21048277.22,Fabricación de productos de hornos de coque,4786150.18
11,Nueva Zelanda,NEW ZEALAND,2077009.73,242303.2,Trilla de café,1750612.67
11,Omán,OMAN,64178.28,3698.01,Trilla de café,52634.88
11,Pakistán,PAKISTAN,206153,131228,"Fabricación de maquinaria para la elaboración de productos textiles, prendas de vestir y cueros",118000
11,Panamá,PANAMA,127387700.78,286066034.23,Extracción de petróleo crudo,83914184.26
11,Paraguay,PARAGUAY,1839796.25,561719.9,"Fabricación de jabones y detergentes, preparados para limpiar y pulir; perfumes y preparados de tocador",302774.77
11,Países Bajos,NETHERLANDS,125387119.28,714884353.67,Extracción de hulla (carbón de piedra),57077510.44
11,Perú,PERU,80453571.19,34401066.24,"Fabricación de jabones y detergentes, preparados para limpiar y pulir; perfumes y preparados de tocador",15105009.58
11,Polonia,POLAND,22152267.32,221321152.76,Extracción de hulla (carbón de piedra),18178180.71
11,Portugal,PORTUGAL,5372385.43,7849534.7,Cultivo de plátano y banano,3716436.54
11,Qatar,QATAR,409869.24,33318.43,"Descafeinado, tostión y molienda del café",294940.8
11,Reino Unido,UNITED KINGDOM,47357891.01,74346504.24,Cultivo de plátano y banano,18080423.41
11,Rep democrática Del Congo,DEMOCRATIC REPUBLIC OF THE CONGO,406271.83,77777.75,"Confección de prendas de vestir, excepto prendas de piel",234681.6
11,República Checa,CZECH REPUBLIC,449730.02999999997,61283.94,Cultivo de flor de corte,325085.06
11,República Del Congo,CONGO,456170.36000000004,220927.39,"Elaboración de cacao, chocolate y productos de confitería",434512.34
11,República Dominicana,DOMINICAN REPUBLIC,52305146.35,325471401.1,Extracción de hulla (carbón de piedra),24817873.200000003
11,Rumania,ROMANIA,2268117.31,374754.74,Trilla de café,1478403.8199999998
11,Rusia,RUSSIA,5195891.35,703321.59,Cultivo de plantas con las que se preparan bebidas,3577882.2
11,San Cristóbal Y Nieves,SAINT KITTS AND NEVIS,35162.69,32778.71,Elaboración de productos de panadería,19818.24
11,San Vicente Y Las Granadinas,SAINT VINCENT AND THE GRENADINES,183596.44,185144.22,"Producción de malta, elaboración de cervezas y otras bebidas malteadas",51951.95
11,Santa Lucía,SAINT LUCIA,116470.78,30167.48,Elaboración de productos de panadería,30209.2
11,Senegal,SENEGAL,163018.91999999998,48052.049999999996,"Fabricación de productos farmacéuticos, sustancias químicas medicinales y productos botánicos de uso farmacéutico",85504
11,Singapur,SINGAPORE,957304.89,52127.82,Trilla de café,384623.81999999995
11,Sudáfrica,SOUTH AFRICA,430845.35,118384.34,Fabricación de otros artículos de papel y cartón,123184
11,Suecia,SWEDEN,5624392.92,3560662.23,Trilla de café,3531337.16
11,Suiza,SWITZERLAND,26975163.27,892619.36,Industrias básicas de metales preciosos,25477142.28
11,Surinam,SURINAME,572512.2,532851.73,"Elaboración de cacao, chocolate y productos de confitería",107639.98999999999
11,Tadjikistan,TADJIKISTAN,3087,660,Cultivo de flor de corte,3087
11,Tailandia,THAILAND,3288112.92,784495.03,"Fabricación de joyas, bisutería y artículos conexos",2191255.48
11,Taiwán,TAIWAN,13554240.57,88595796.1,Extracción de hulla (carbón de piedra),7871134.430000001
11,Territorio Autónomo De Palestina,PALESTINE,40131,18869.76,"Elaboración de cacao, chocolate y productos de confitería",40131
11,Togo,TOGO,408237,281062,Procesamiento y conservación de carne y productos cárnicos,408237
11,Trinidad Y Tobago,TRINIDAD AND TOBAGO,3422636.54,1472921.29,"Elaboración de cacao, chocolate y productos de confitería",860168.92
11,Tunicia,TUNISIA,6564.69,178.2,Fabricación de otros tipos de maquinaria y equipo de uso especial n.c.p.,5469.24
11,Turquía,TURKEY,28177069.290000003,344424071.03,Extracción de hulla (carbón de piedra),24016785.1
11,Ucrania,UKRAINE,373071,34341.7,Trilla de café,184292.88
11,Uganda,UGANDA,60488,334.98999999999995,Fabricación de computadoras y de equipo periférico,50448.77
11,Uruguay,URUGUAY,1654557.17,561444.28,Fabricación de artículos de plástico n.c.p.,352127.08
11,Uzbekistán,UZBEKISTAN,172177.01,25324.27,Cultivo de flor de corte,120500.75
11,Venezuela,VENEZUELA,79305341.24,47926331.08,"Fabricación de jabones y detergentes, preparados para limpiar y pulir; perfumes y preparados de tocador",8261615.43
11,Vietnam,VIETNAM,4096417.2600000002,1211636.18,Trilla de café,2915180.1500000004
11,Zimbabwe,ZIMBABWE,2098726.82,532423,Fabricación de maquinaria para explotación de minas y canteras y para obras de construcción,2041112
12,Alemania,GERMANY,65013570.69,176079082.69,Trilla de café,29829843.32
12,Anguilla,ANGUILLA,3285.27,4084.1,Fabricación de productos de la refinación del petróleo,3285.27
12,Antigua Y Barbuda,ANTIGUA Y BARBUDA,240915.32,134894.4,"Fabricación de artículos de viaje, bolsos de mano y artículos similares elaborados en cuero, y fabricación de artículos de talabartería y guarnicionería",67402.93
12,Arabia Saudita,SAUDI ARABIA,8617573.94,1056990.36,Trilla de café,7596540.22
12,Argelia,ALGERIA,1873824.8399999999,2141800.0700000003,Cultivo de plátano y banano,1232923.7
12,Argentina,ARGENTINA,16982624.32,17023981.16,Fabricación de productos de la refinación del petróleo,2247734.41
12,Armenia,ARMENIA,14004.120000000003,1583.75,Cultivo de flor de corte,14004.120000000003
12,Australia,AUSTRALIA,11366468.64,1460935.52,Trilla de café,8445823.31
12,Austria,AUSTRIA,55658.7,5785.58,Cultivo de flor de corte,32287.7
12,Azerbaiján,AZERBAIJAN,19733.4,3745,Cultivo de flor de corte,19631.4
12,Bahamas,BAHAMAS,371883.73000000004,114422.01,Fabricación de productos metálicos para uso estructural,96031.2
12,Bahrein,BAHREIN,40892.21,4861.7,Cultivo de flor de corte,35603.03
12,Bangladesh,BANGLADESH,109940.17,378174.2,Recuperación de materiales,101112.45
12,Barbados,BARBADOS,946087.34,565291.23,Fabricación de otros productos elaborados de metal n.c.p.,185109.98
12,Belarus,BELARUS,85173.81,16959.05,Cultivo de flor de corte,85173.81
12,Belice,BELIZE,405907.43,65015.409999999996,Fabricación de plaguicidas y otros productos químicos de uso agropecuario,151944.36
12,Bolivia,BOLIVIA,8266948.99,2384177.19,Fabricación de otros productos químicos n.c.p.,1861737.3599999999
12,Bosnia Y Herzegovina,BOSNIA AND HERZEGOVINA,13385.77,3025.24,Cultivo de flor de corte,13385.77
12,Brasil,BRAZIL,137561615.7,780835134.62,Extracción de hulla (carbón de piedra),56570389.79
12,Bulgaria,BULGARIA,84121.06999999999,5428.54,"Confección de prendas de vestir, excepto prendas de piel",55026.14
12,Bélgica,BELGIUM,73062817.41,74429096.32,Trilla de café,39203296.04
12,Cabo Verde,CABO VERDE,14727.53,3945,Cultivo de frutas tropicales y subtropicales,14520.45
12,Camerún,CAMEROON,129470,17769,Fabricación de otros productos elaborados de metal n.c.p.,67470
12,Canadá,CANADA,156441141.65,314076897.22,Industrias básicas de metales preciosos,83708422.08
12,Chile,CHILE,100446606.57000001,793975688.17,Extracción de hulla (carbón de piedra),53798538.67
12,China,CHINA,65998788.22,17647189.06,Industrias básicas de hierro y de acero,22057375.37
