Mes,Pais,Pais_join,Nivel tecnologico,fob_total,kg_total
8,Bélgica,BELGICA,Manufacturas de tecnología media,824754.66,90043.63
8,Bélgica,BELGICA,Otras transacciones,2,13.28
8,Camerún,CAMERUN,Manufacturas de alta tecnología,16434,494
8,Canadá,CANADA,Bienes primarios,62663906.830000006,9123985.73
8,Canadá,CANADA,Manufacturas basadas en recursos naturales,5054513.93,10905372.84
8,Canadá,CANADA,Manufacturas de alta tecnología,259111.18999999997,66299.82
8,Canadá,CANADA,Manufacturas de baja tecnología,2200010.23,201397.21
8,Canadá,CANADA,Manufacturas de tecnología media,2161133.39,892155.89
8,Canadá,CANADA,Otras transacciones,62388460.5,1143.03
8,Chile,CHILE,Bienes primarios,22254301.43,146678654.06
8,Chile,CHILE,Manufacturas basadas en recursos naturales,12392044.4,16426326.87
8,Chile,CHILE,Manufacturas de alta tecnología,2526105.7,1804146.17
8,Chile,CHILE,Manufacturas de baja tecnología,5158321.94,1371202
8,Chile,CHILE,Manufacturas de tecnología media,13313457.65,3583055.31
8,Chile,CHILE,Otras transacciones,280499.42,21550.29
8,China,CHINA,Bienes primarios,72304192.24,7370729.2700000005
8,China,CHINA,Manufacturas basadas en recursos naturales,16291366.729999999,3356125.88
8,China,CHINA,Manufacturas de alta tecnología,104065,13764
8,China,CHINA,Manufacturas de baja tecnología,578970.78,37636.14
8,China,CHINA,Manufacturas de tecnología media,23104485.78,7885228
8,China,CHINA,Otras transacciones,4,4
8,Chipre,CHIPRE,Bienes primarios,2869.8,212
8,Chipre,CHIPRE,Manufacturas basadas en recursos naturales,114778.4,63532.5
8,Colombia,COLOMBIA,Bienes primarios,225604.82,10346.99
8,Colombia,COLOMBIA,Manufacturas basadas en recursos naturales,411292.83,13203.09
8,Colombia,COLOMBIA,Manufacturas de alta tecnología,45375.63,682.81
8,Colombia,COLOMBIA,Manufacturas de baja tecnología,483512.83,4116.98
8,Colombia,COLOMBIA,Manufacturas de tecnología media,232.68,6.21
8,Colombia,COLOMBIA,Otras transacciones,985.75,46.23
8,Comoras,COMORAS,Manufacturas basadas en recursos naturales,47630.5,26115
8,Corea del Sur,COREA DEL SUR,Bienes primarios,45021679.2,324768164.33
8,Corea del Sur,COREA DEL SUR,Manufacturas basadas en recursos naturales,3829324.68,554449
8,Corea del Sur,COREA DEL SUR,Manufacturas de alta tecnología,763,83.17
8,Corea del Sur,COREA DEL SUR,Manufacturas de baja tecnología,41650.270000000004,524.32
8,Corea del Sur,COREA DEL SUR,Manufacturas de tecnología media,7373712.75,1507522.16
