Mes,Departamento,Departamento_join,fob_total,kg_total,Nivel tecnologico,fob_tecnologia,Pais,fob_pais,CIIU,fob_ciiu
7,Quindío,QUINDIO,22909123.43,4567818.45,Bienes primarios,21266317.47,Estados Unidos,10522121.809999999,Trilla de café,18194407
7,Risaralda,RISARALDA,62317378.18,13039443.93,Manufacturas de alta tecnología,25233539.650000002,Estados Unidos,30008349.71,"Fabricación de motores, generadores y transformadores eléctricos",24028852.900000002
7,Santander,SANTANDER,73076742.91,41305191.88,Bienes primarios,45705364.18,Estados Unidos,19762466.55,Fabricación de productos de la refinación del petróleo,17870867.32
7,Sucre,SUCRE,61752414.559999995,157227878.33,Bienes primarios,61163629.379999995,Estados Unidos,61021986.73,Extracción de petróleo crudo,60985686.73
7,Tolima,TOLIMA,11967978.73,1360471.59,Bienes primarios,11664981.09,Estados Unidos,7973269.2,Otros derivados del café,7466745.51
7,Valle del Cauca,VALLE DEL CAUCA,234784985.71,108877217.82,Manufacturas basadas en recursos naturales,72315308.99,Estados Unidos,70422118.27,"Fabricación de jabones y detergentes, preparados para limpiar y pulir; perfumes y preparados de tocador",27800372.24
8,Antioquia,ANTIOQUIA,857852736.55,193584219.19,Bienes primarios,416793940.16,Estados Unidos,220649933.88000003,Industrias básicas de metales preciosos,276341301.26
8,Arauca,ARAUCA,34223.04,49517.1,Manufacturas de tecnología media,32089.74,Venezuela,32089.74,Fabricación de plásticos en formas primarias,19759.74
8,Atlántico,ATLANTICO,146103089.09,64956465.839999996,Manufacturas de baja tecnología,63691989.83,Estados Unidos,70685579.22,Fabricación de productos metálicos para uso estructural,40891599.050000004
8,Bogotá,BOGOTA D.C.,414015032.46,136369412.86,Bienes primarios,171734469.32,Estados Unidos,125052075.01,Trilla de café,100411840.17
8,Bolívar,BOLIVAR,132999893.03999999,75241883.88,Manufacturas de tecnología media,95445265.81,Brasil,50219651.5,Fabricación de plásticos en formas primarias,51783938.06
8,Boyacá,BOYACA,28227538.18,109282395.78,Manufacturas basadas en recursos naturales,26487110.91,Reino Unido,12921657.9,Fabricación de productos de hornos de coque,25733336.169999998
8,Caldas,CALDAS,127893992.39,20009329.14,Bienes primarios,102973159.82000001,Estados Unidos,30104244,Trilla de café,61020167.58
8,Caquetá,CAQUETA,27.6,1.2,Manufacturas de baja tecnología,27.6,Argentina,27.6,"Fabricación de artículos de cuchillería, herramientas de mano y artículos de ferretería",27.6
8,Casanare,CASANARE,65691354.18,146539323,Bienes primarios,65678775.27,Estados Unidos,49877615.8,Extracción de petróleo crudo,65678775.27
8,Cauca,CAUCA,18616891.52,17898506.24,Manufacturas basadas en recursos naturales,10605304.84,Estados Unidos,5712163.44,Elaboración y refinación de azúcar,7659574
