Mes,Departamento,Departamento_join,Nivel tecnologico,fob_total,kg_total
8,Nariño,NARINO,Manufacturas basadas en recursos naturales,61177.2,43421.4
8,Nariño,NARINO,Manufacturas de alta tecnología,15680.78,186
8,Nariño,NARINO,Manufacturas de baja tecnología,24692.31,7182.04
8,Nariño,NARINO,Manufacturas de tecnología media,160722.49,48398.08
8,Norte de Santander,NORTE DE SANTANDER,Bienes primarios,19901141.63,183607634.18
8,Norte de Santander,NORTE DE SANTANDER,Manufacturas basadas en recursos naturales,37203869.21,162367660.81
8,Norte de Santander,NORTE DE SANTANDER,Manufacturas de alta tecnología,385160.94,21313.48
8,Norte de Santander,NORTE DE SANTANDER,Manufacturas de baja tecnología,3295482.01,2484715.5
8,Norte de Santander,NORTE DE SANTANDER,Manufacturas de tecnología media,2981714.72,1169830.76
8,Norte de Santander,NORTE DE SANTANDER,Otras transacciones,255.68,50
8,Putumayo,PUTUMAYO,Manufacturas de tecnología media,319000,16800
8,Quindío,QUINDIO,Bienes primarios,19926225.73,3377020.7
8,Quindío,QUINDIO,Manufacturas basadas en recursos naturales,849926.3099999999,127789.48
8,Quindío,QUINDIO,Manufacturas de alta tecnología,139391.28,983.87
8,Quindío,QUINDIO,Manufacturas de baja tecnología,76937.04,19666.09
8,Quindío,QUINDIO,Manufacturas de tecnología media,155695.78999999998,180228
8,Risaralda,RISARALDA,Bienes primarios,13809067.91,3603618.1
8,Risaralda,RISARALDA,Manufacturas basadas en recursos naturales,17828063.07,12328758.62
8,Risaralda,RISARALDA,Manufacturas de alta tecnología,17214866.03,1483700.57
8,Risaralda,RISARALDA,Manufacturas de baja tecnología,1343486.89,300287.16000000003
8,Risaralda,RISARALDA,Manufacturas de tecnología media,1357115.78,117101.18
8,Risaralda,RISARALDA,Otras transacciones,2.5,0.01
8,Santander,SANTANDER,Bienes primarios,30794059.220000003,10416445.42
8,Santander,SANTANDER,Manufacturas basadas en recursos naturales,16779013.990000002,20744383.1
8,Santander,SANTANDER,Manufacturas de alta tecnología,24265.829999999998,78.67
8,Santander,SANTANDER,Manufacturas de baja tecnología,2331601.31,495359.02
8,Santander,SANTANDER,Manufacturas de tecnología media,3489190.37,904838.65
8,Santander,SANTANDER,Otras transacciones,160.99,37.32
8,Sucre,SUCRE,Bienes primarios,194602,163415
8,Sucre,SUCRE,Manufacturas de baja tecnología,80,848
8,Sucre,SUCRE,Manufacturas de tecnología media,65418,34000
8,Tolima,TOLIMA,Bienes primarios,14258660.23,1534314.71
8,Tolima,TOLIMA,Manufacturas basadas en recursos naturales,326538.01999999996,101598
8,Tolima,TOLIMA,Manufacturas de baja tecnología,104035.93,12243.58
8,Tolima,TOLIMA,Manufacturas de tecnología media,157215.77,8111.28
8,Valle del Cauca,VALLE DEL CAUCA,Bienes primarios,40036577.87,9912878.97
8,Valle del Cauca,VALLE DEL CAUCA,Manufacturas basadas en recursos naturales,69809930.04,65515350.1
8,Valle del Cauca,VALLE DEL CAUCA,Manufacturas de alta tecnología,27253846.35,6889039.97
8,Valle del Cauca,VALLE DEL CAUCA,Manufacturas de baja tecnología,21761410.02,6622460.09
8,Valle del Cauca,VALLE DEL CAUCA,Manufacturas de tecnología media,44068390.18,16808742.03
8,Valle del Cauca,VALLE DEL CAUCA,Otras transacciones,35854.29,1506.72
9,Amazonas,AMAZONAS,Manufacturas de alta tecnología,2083.2,144
9,Antioquia,ANTIOQUIA,Bienes primarios,534696412.6,192217588.66
9,Antioquia,ANTIOQUIA,Manufacturas basadas en recursos naturales,46269083.16,15582982
9,Antioquia,ANTIOQUIA,Manufacturas de alta tecnología,7415350.86,820406.28
9,Antioquia,ANTIOQUIA,Manufacturas de baja tecnología,62116428.64,11041486.55
9,Antioquia,ANTIOQUIA,Manufacturas de tecnología media,71939841.29,21974805.01
9,Antioquia,ANTIOQUIA,Otras transacciones,389461241.05,45534.13
9,Arauca,ARAUCA,Manufacturas basadas en recursos naturales,33998,44500
9,Arauca,ARAUCA,Manufacturas de baja tecnología,9171.34,8568.09
9,Arauca,ARAUCA,Manufacturas de tecnología media,93228.19,100109.66
9,Atlántico,ATLANTICO,Bienes primarios,7636711.5,9010445.75
9,Atlántico,ATLANTICO,Manufacturas basadas en recursos naturales,32943778.29,13668562.65
9,Atlántico,ATLANTICO,Manufacturas de alta tecnología,9400127.18,1599793.1199999999
9,Atlántico,ATLANTICO,Manufacturas de baja tecnología,75003241.44,14186477.11
9,Atlántico,ATLANTICO,Manufacturas de tecnología media,36786308.62,8374422.1
9,Atlántico,ATLANTICO,Otras transacciones,46291.9,7703.18
9,Bogotá,BOGOTA D.C.,Bienes primarios,288009286.3,52549931.54
9,Bogotá,BOGOTA D.C.,Manufacturas basadas en recursos naturales,96788758.18,86934815.99
9,Bogotá,BOGOTA D.C.,Manufacturas de alta tecnología,32437358.95,741771.17
9,Bogotá,BOGOTA D.C.,Manufacturas de baja tecnología,43200588.32,6459021.01
9,Bogotá,BOGOTA D.C.,Manufacturas de tecnología media,71015662.2,12954153.05
9,Bogotá,BOGOTA D.C.,Otras transacciones,6604809.44,732584.7899999999
9,Bolívar,BOLIVAR,Bienes primarios,23666788.560000002,37209828.86
9,Bolívar,BOLIVAR,Manufacturas basadas en recursos naturales,18360165.85,14335896.99
9,Bolívar,BOLIVAR,Manufacturas de alta tecnología,590025.36,30944.18
9,Bolívar,BOLIVAR,Manufacturas de baja tecnología,17704980.85,4118387.27
9,Bolívar,BOLIVAR,Manufacturas de tecnología media,136850991.48,79959655.48
9,Bolívar,BOLIVAR,Otras transacciones,390917.76,11720.43
9,Boyacá,BOYACA,Bienes primarios,1569521.59,848350.4
9,Boyacá,BOYACA,Manufacturas basadas en recursos naturales,45688369.11,162155471.79
9,Boyacá,BOYACA,Manufacturas de alta tecnología,12117.519999999999,450.67999999999995
9,Boyacá,BOYACA,Manufacturas de baja tecnología,20500.02,2375.6099999999997
9,Boyacá,BOYACA,Manufacturas de tecnología media,14821.54,595.58
9,Caldas,CALDAS,Bienes primarios,55417925.26,7708119.45
9,Caldas,CALDAS,Manufacturas basadas en recursos naturales,14664529.31,7449741.09
9,Caldas,CALDAS,Manufacturas de alta tecnología,788904.9299999999,53843.409999999996
9,Caldas,CALDAS,Manufacturas de baja tecnología,5110606.28,1231176.37
9,Caldas,CALDAS,Manufacturas de tecnología media,9771771.6,2515190.95
9,Caldas,CALDAS,Otras transacciones,1538.87,2847.77
9,Casanare,CASANARE,Bienes primarios,60656730.44,140341479
9,Cauca,CAUCA,Bienes primarios,3234746.39,407587
9,Cauca,CAUCA,Manufacturas basadas en recursos naturales,6048812.47,8670975.05
9,Cauca,CAUCA,Manufacturas de baja tecnología,928788.1900000001,285764.27
9,Cauca,CAUCA,Manufacturas de tecnología media,4858559.57,2672076.8899999997
9,Cesar,CESAR,Bienes primarios,208768716.55,2698752972
9,Cesar,CESAR,Manufacturas basadas en recursos naturales,68977.4,308782
9,Cesar,CESAR,Manufacturas de baja tecnología,4965.320000000001,145.92
9,Cesar,CESAR,Manufacturas de tecnología media,272812,721318
9,Chocó,CHOCO,Manufacturas basadas en recursos naturales,705734.45,1771591.34
9,Chocó,CHOCO,Otras transacciones,1362225.06,15.99
9,Cundinamarca,CUNDINAMARCA,Bienes primarios,112305098.99,213853238.44
9,Cundinamarca,CUNDINAMARCA,Manufacturas basadas en recursos naturales,33230968.72,81698904.66
9,Cundinamarca,CUNDINAMARCA,Manufacturas de alta tecnología,19477924.41,1098168.03
9,Cundinamarca,CUNDINAMARCA,Manufacturas de baja tecnología,15381017.91,3474513.57
9,Cundinamarca,CUNDINAMARCA,Manufacturas de tecnología media,47564716.84,8877329.74
9,Cundinamarca,CUNDINAMARCA,Otras transacciones,931916.65,122841.93
9,Córdoba,CORDOBA,Bienes primarios,17059665.8,109893029.99
9,Córdoba,CORDOBA,Manufacturas basadas en recursos naturales,367576.76,171995
9,Córdoba,CORDOBA,Manufacturas de alta tecnología,290,44
9,Córdoba,CORDOBA,Manufacturas de tecnología media,36330025.65,11166224
9,Guajira,LA GUAJIRA,Bienes primarios,125965918.19,1417002839.79
9,Guajira,LA GUAJIRA,Manufacturas basadas en recursos naturales,123747.20000000001,56799
9,Guajira,LA GUAJIRA,Manufacturas de alta tecnología,266490.29000000004,2996.27
9,Guajira,LA GUAJIRA,Manufacturas de baja tecnología,53263.47,8160.5
9,Guajira,LA GUAJIRA,Manufacturas de tecnología media,1291960.34,858239.34
9,Guajira,LA GUAJIRA,Otras transacciones,166.24,0.23
9,Huila,HUILA,Bienes primarios,143115304.04,18698042.48
9,Huila,HUILA,Manufacturas basadas en recursos naturales,34662.979999999996,21514.46
9,Huila,HUILA,Manufacturas de baja tecnología,3314.09,517.46
9,Huila,HUILA,Manufacturas de tecnología media,8676.76,944.5999999999999
9,Magdalena,MAGDALENA,Bienes primarios,73501250.47,131106334.08
9,Magdalena,MAGDALENA,Manufacturas basadas en recursos naturales,305745.3,364907.39999999997
9,Magdalena,MAGDALENA,Manufacturas de baja tecnología,6038.04,352.24
9,Magdalena,MAGDALENA,Manufacturas de tecnología media,99705.84,33042.01
9,Meta,META,Bienes primarios,33947752.43,77383506.44
9,Meta,META,Manufacturas basadas en recursos naturales,1963.2,675.6800000000001
9,Meta,META,Manufacturas de alta tecnología,58560.6,5081.21
9,Meta,META,Manufacturas de baja tecnología,27554.16,10439.91
9,Meta,META,Manufacturas de tecnología media,245552.95,480147.15
9,Nariño,NARINO,Bienes primarios,9902447.98,2158540.5
9,Nariño,NARINO,Manufacturas basadas en recursos naturales,53625.7,39965.8
9,Nariño,NARINO,Manufacturas de alta tecnología,152650.16999999998,76939.1
9,Nariño,NARINO,Manufacturas de baja tecnología,72967.25,7899.54
9,Nariño,NARINO,Manufacturas de tecnología media,118797.64,46144.18
9,Norte de Santander,NORTE DE SANTANDER,Bienes primarios,45987099.51,454243340
9,Norte de Santander,NORTE DE SANTANDER,Manufacturas basadas en recursos naturales,44801316.580000006,230154342.89
9,Norte de Santander,NORTE DE SANTANDER,Manufacturas de alta tecnología,685120.4199999999,31680.879999999997
9,Norte de Santander,NORTE DE SANTANDER,Manufacturas de baja tecnología,6159960.58,5813429.11
9,Norte de Santander,NORTE DE SANTANDER,Manufacturas de tecnología media,3566807.89,1966356.3
9,Norte de Santander,NORTE DE SANTANDER,Otras transacciones,21158.75,1343.52
9,Putumayo,PUTUMAYO,Bienes primarios,12968268.68,32007633
9,Quindío,QUINDIO,Bienes primarios,13988978.88,2777349.07
9,Quindío,QUINDIO,Manufacturas basadas en recursos naturales,1101662.63,240017.53
9,Quindío,QUINDIO,Manufacturas de baja tecnología,92946.16,25487.77
9,Quindío,QUINDIO,Manufacturas de tecnología media,214635.75,145256.68
9,Risaralda,RISARALDA,Bienes primarios,14416038.96,5507137.83
9,Risaralda,RISARALDA,Manufacturas basadas en recursos naturales,13871112.39,7491999.15
9,Risaralda,RISARALDA,Manufacturas de alta tecnología,23546818.61,1884716.19
9,Risaralda,RISARALDA,Manufacturas de baja tecnología,2068683.1199999999,372054.86
9,Risaralda,RISARALDA,Manufacturas de tecnología media,12483878.4,725789.39
9,Risaralda,RISARALDA,Otras transacciones,0.52,4.85
9,Santander,SANTANDER,Bienes primarios,11449726.459999999,5143619.98
9,Santander,SANTANDER,Manufacturas basadas en recursos naturales,20326126.62,24855953.31
9,Santander,SANTANDER,Manufacturas de alta tecnología,28616.96,214.4
9,Santander,SANTANDER,Manufacturas de baja tecnología,2886189.71,504639.03
9,Santander,SANTANDER,Manufacturas de tecnología media,4688836.63,938780.19
9,Santander,SANTANDER,Otras transacciones,5502.5,654.4399999999999
9,Sucre,SUCRE,Bienes primarios,54708289.62,131483730
9,Sucre,SUCRE,Manufacturas basadas en recursos naturales,311896.75,1670500
9,Sucre,SUCRE,Manufacturas de baja tecnología,11432.88,25
9,Sucre,SUCRE,Manufacturas de tecnología media,10200,27000
9,Tolima,TOLIMA,Bienes primarios,10576455.03,883665
9,Tolima,TOLIMA,Manufacturas basadas en recursos naturales,74302.85,31251.4
9,Tolima,TOLIMA,Manufacturas de alta tecnología,6419.71,408.6
9,Tolima,TOLIMA,Manufacturas de baja tecnología,86615.64,7970.35
9,Tolima,TOLIMA,Manufacturas de tecnología media,31452.37,4310.2
9,Valle del Cauca,VALLE DEL CAUCA,Bienes primarios,35006311.69,9243109.19
9,Valle del Cauca,VALLE DEL CAUCA,Manufacturas basadas en recursos naturales,69929740.02,59354375.95
9,Valle del Cauca,VALLE DEL CAUCA,Manufacturas de alta tecnología,29898050.6,6424917.33
9,Valle del Cauca,VALLE DEL CAUCA,Manufacturas de baja tecnología,25855782.35,7353964.96
9,Valle del Cauca,VALLE DEL CAUCA,Manufacturas de tecnología media,53115810.52,19361901.09
9,Valle del Cauca,VALLE DEL CAUCA,Otras transacciones,220762.04,21531.199999999997
9,Vaupés,VAUPES,Manufacturas basadas en recursos naturales,6433.35,363.6
10,Antioquia,ANTIOQUIA,Bienes primarios,334031595.47,230441497.94
10,Antioquia,ANTIOQUIA,Manufacturas basadas en recursos naturales,39695471.38,16331843.31
10,Antioquia,ANTIOQUIA,Manufacturas de alta tecnología,4358737.47,503537.12
10,Antioquia,ANTIOQUIA,Manufacturas de baja tecnología,63702330.78,10218519.74
10,Antioquia,ANTIOQUIA,Manufacturas de tecnología media,74791510.7,21272127.26
10,Antioquia,ANTIOQUIA,Otras transacciones,423366850.03,30533.09
10,Arauca,ARAUCA,Manufacturas basadas en recursos naturales,6551.14,12500
10,Arauca,ARAUCA,Manufacturas de baja tecnología,9872.41,8405.7
10,Arauca,ARAUCA,Otras transacciones,11,0.35
